---
run: 2026-09-03-lf-door43-lenses
scope: door43-mcp-v2-planning (revision; shaping receipt docs/DELTA.md honored)
seat: CoS door, in-seat cook (captain ruling 2026-09-03)
repo_head: klappy/door43-mcp main 15d375d
source:
  - {uri: docs/SPEC.md, sha: 06a8259c7527afb822d9c82b108ab42191dd2c1a}
  - {uri: docs/PLAN.md, sha: d5c526704684f92d8ceedb123874d76d0b81d72e}
  - {uri: docs/TENSIONS.md, sha: f7d23d2f4255aa6a203499438f5bbcfe71af52df}
  - {uri: docs/DELTA.md, sha: 4ba303021d75ca8d5dadaa1349c2199605402285}
  - {uri: docs/DEPLOY.md, sha: 72042cd190238808a0561b0454ad9f992209dbab}
  - {uri: docs/CHARTER.md, sha: 28b66fc2b235729c92669311aeaa32eca6f7a214}
  - {uri: docs/TELEMETRY-POLICY.md, sha: 5107bdeb3e0005c929655839780d5b31eb01a365}
  - {uri: AGENTS.md, sha: b614969931add639ebca504a392ced11e59e6a7f}
  - {uri: docs/validation/2026-09-03-v1.md, sha: df522bcc78a613d53721b2b73edee882b2add811}
  - {uri: klappy.dev:canon/lenses/klappy-architect.md@cook/lf-portable-lenses, sha: bf651f2ab5feb5d6e85bc33d0c619b2b8a87621e}
  - {uri: klappy://canon/methods/driver-seat-lens, sha: content_hash adp0vp}
---
id	ts	contributor	verdict	tier	signals	scope	custody	confidence	relationships	short	long
d0001	2026-09-04T00:35Z	lens:driver-seat	trace	2	shaping,receipt,honored	door43-mcp-v2-planning	run	high	grounds(docs/DELTA.md@4ba3030)	Shaping lens already ran on this plan; receipt is docs/DELTA.md (pass 2026-09-03T03:53Z, re-checked 20:16Z)	Not re-run this dish: the driver's seat edits docs and this dish is the evaluating phase (ticket L15). DELTA honored per LIFECYCLE 1.2.0 standing bind for tickets ordered before 2026-09-03.
d0002	2026-09-04T00:31Z	lens:klappy-architect	trace	3	portable,import,resolve-fail	door43-mcp-v2-planning	run	high	grounds(lenses/INDEX.md)	oddkit_resolve klappy://canon/lenses/klappy-architect → NOT_FOUND 00:31Z; body read from klappy.dev cook/lf-portable-lenses bf651f2 (klappy.dev#321, draft)	INDEX-TEMPLATE: resolution failure is a trace row, not a skip. Ran the branch body at body 0.1.0; every row below stays custody=run until the captain acks the lens itself.
d0003	2026-09-04T00:36Z	lens:klappy-architect	crystallize:accept	2	credential,write,R4	door43-mcp-v2-planning	run	high	grounds(docs/SPEC.md §mutate) grounds(klappy://canon/lenses/klappy-architect q1)	Writes ride the DO-held grant; no seat holds a secret to mutate; refused[] is a server floor	Architect q1 satisfied by construction. The one credential a seat cannot mint (T12 AE read token) is HUMAN-ONLY(secret) and named.
d0004	2026-09-04T00:36Z	lens:klappy-architect	crystallize:accept	1	cold-boarding,drift,fourth-tool	door43-mcp-v2-planning	run	high	grounds(AGENTS.md@b614969 L7) grounds(docs/CHARTER.md §What) grounds(klappy://canon/lenses/klappy-architect q2)	AGENTS.md L7 and CHARTER §What say "Three tools"; v2.8 ships a fourth under dcs:write with no done-means to recut them	A cold seat reads AGENTS.md before docs(); when v2.8 lands it boards on a false count. PLAN v2.8 done-means gains: AGENTS.md identity line and CHARTER §What recut (CHARTER is captain voice → named, not edited).
d0005	2026-09-04T00:36Z	lens:klappy-architect	crystallize:accept	2	borrow,6B,fire-gate	door43-mcp-v2-planning	run	medium	grounds(docs/BORROW-EVALUATION.md) grounds(klappy://canon/lenses/klappy-architect q3)	BORROW-EVALUATION covers v1 (2026-09-02); v2.5 runner, v2.6 hand-off, v2.8 seal have no 6B row	FIRE-CHECK gate 7 will demand it at each fire; PLAN says so now so the cook does not discover it at the stove. Candidates to name then: MCP tasks/async patterns (P0005), cartographer recipe prose, workers-oauth-provider scopes.
d0006	2026-09-04T00:36Z	lens:klappy-architect	uncertain-encode	2	single-point,tally,D1	door43-mcp-v2-planning	run	medium	grounds(docs/DELTA.md §The tower 4) grounds(docs/TENSIONS.md T12) grounds(klappy://canon/lenses/klappy-architect q4)	The tally has one home (D1 exact); T12 frames the second channel as a credential gap, the architect frames it as a single point	Defer: D1 is durable and the tally is derivative of upstream truth, not testimony. Re-ask when a consumer bills from it (v2.7 my-spend) — then a second home is owed.
d0007	2026-09-04T00:36Z	lens:klappy-architect	crystallize:accept	2	metaphor-agnostic,lineage	door43-mcp-v2-planning	run	high	grounds(docs/DELTA.md §Challenge prior art) grounds(klappy://canon/lenses/klappy-architect q5)	House words (envelope, pre-formed call, pin, tally) each carry a neutral lineage name in DELTA; L1 items must cite those, not the house words	Already answered in DELTA's prior-art block; the finding is that PLAN v2.x done-means does not say the lineage must ride into the L1 URIs. One clause added.
d0008	2026-09-04T00:36Z	lens:klappy-architect	crystallize:accept	2	dispatch,handoff,seat	door43-mcp-v2-planning	run	high	grounds(docs/PLAN.md v2.6) grounds(klappy://canon/lenses/klappy-architect q6)	v2.6 hand-off is a pre-formed call the agent executes; the server dispatches, never runs the sibling	Dispatcher/executor split holds. Owner column already names cartographer's owner as consulted.
d0009	2026-09-04T00:36Z	lens:klappy-architect	trace	2	observable,done-means	door43-mcp-v2-planning	run	high	grounds(docs/PLAN.md §v2) grounds(klappy://canon/lenses/klappy-architect q7)	Every v2 row's done-means is readable off git or the live server by a stranger; v2.x depends on the T4 resolver that 404s on case	Nothing to move. v2.x done-means already requires resolution; T4 is the risk it names.
d0010	2026-09-04T00:36Z	lens:klappy-architect	crystallize:accept	2	failure-modes,retraction	door43-mcp-v2-planning	run	high	grounds(docs/DELTA.md §Retraction conditions) grounds(klappy://canon/lenses/klappy-architect q8)	Failure modes and required responses live in DELTA §Retraction, not beside the PLAN rows they govern	Nothing missing in substance; PLAN v2.8 row gains one pointer to the v2.8 retraction condition so the cook reads it at fire.
d0011	2026-09-04T00:38Z	lens:persona-agent-reader	crystallize:accept	2	orient,2kb	door43-mcp-v2-planning	run	high	grounds(klappy/kitchen journal/2026-09-02-cos-door-c.tsv c0006) grounds(lenses/persona-agent-reader.md q1)	docs() at 1215 B names journeys and cites both URIs; the reader orients in one call	Observed by this seat 2026-09-03T02:31Z. Nothing to move.
d0012	2026-09-04T00:38Z	lens:persona-agent-reader	crystallize:tension	1	continue,tokens,orphan-tension	door43-mcp-v2-planning	run	high	grounds(docs/TENSIONS.md T20) grounds(docs/validation/2026-09-03-v1.md F4) grounds(lenses/persona-agent-reader.md q2)	T20 (byte-cut continue cost ~71k tokens on one call) has no PLAN row; the reader pays it on every truncation until someone owns it	Tension for the captain: keep bytes (§7-correct, cheap server) or record-align continue (parseable slices, a v2 row). Neither is free; the plan is silent.
d0013	2026-09-04T00:38Z	lens:persona-agent-reader	crystallize:accept	2	errors,next-call	door43-mcp-v2-planning	run	high	grounds(docs/PLAN.md 1a) grounds(lenses/persona-agent-reader.md q3)	401/404/405 each carry the fixing call (observed gate 1); recipe without dry_run → 501 with the plan (v2.4)	Nothing to move.
d0014	2026-09-04T00:38Z	lens:persona-agent-reader	uncertain-encode	2	dry-run,no-history,fresh-host	door43-mcp-v2-planning	run	medium	grounds(docs/SPEC.md §execute v2 dry_run) grounds(docs/DELTA.md §Retraction re-check seed 4) grounds(lenses/persona-agent-reader.md q4)	On a fresh host every dry_run answers no history; the reader learns the price only after paying it	Defer: DELTA calls this the condition working. Re-ask at v2.7 whether a swagger-derived or house-wide prior (cartographer p50 by family) is an honest basis for a host with no rows.
d0015	2026-09-04T00:38Z	lens:persona-agent-reader	crystallize:accept	1	fourth-tool,scope,docs-teaches	door43-mcp-v2-planning	run	high	grounds(docs/SPEC.md §mutate) grounds(docs/PLAN.md v2.8) grounds(lenses/persona-agent-reader.md q5)	v2.8 says docs() cites why the fourth tool exists; it does not say docs() tells a dcs:read seat how to obtain dcs:write	A read-only seat that needs a write hits a tool that is not there. PLAN v2.8 done-means gains: docs() on a dcs:read grant names the re-consent step for dcs:write (the pre-formed call, not prose).
d0016	2026-09-04T00:38Z	lens:persona-agent-reader	trace	2	pin,free-sha	door43-mcp-v2-planning	run	high	grounds(docs/PLAN.md v2.3) grounds(docs/SPEC.md §docs v2 recipes) grounds(lenses/persona-agent-reader.md q6)	A free sha is in reach via catalog commit_sha and map-this-release; read-file-at-pin takes the sha as an arg	The moving-ref hint is not a chore when the recipe list supplies the sha. Nothing to move.
d0017	2026-09-04T00:40Z	lens:persona-uw-deployer	trace	2	deploy,bindings,F5	door43-mcp-v2-planning	run	high	grounds(docs/DEPLOY.md step 3) grounds(docs/validation/2026-09-03-v1.md F5) grounds(lenses/persona-uw-deployer.md q1)	DEPLOY now names every binding a fork must create; acceptance 7 (second operator from README alone) is still unobserved	PLAN row 4 already carries the gap. Nothing to move; the rehearsal is HUMAN-ONLY(uW ops).
d0018	2026-09-04T00:40Z	lens:persona-uw-deployer	crystallize:accept	1	oauth,scope,deploy-recut	door43-mcp-v2-planning	run	high	grounds(docs/SPEC.md §mutate scopesSupported) grounds(docs/DEPLOY.md step 2) grounds(lenses/persona-uw-deployer.md q2)	v2.8 registers mutate only under dcs:write; DEPLOY step 2 (the one HUMAN-ONLY step) says nothing about scopes, and whether a DCS OAuth app can restrict them is unobserved	PLAN v2.8 done-means gains: DEPLOY step 2 recut with the scope the operator grants, after observing on git.door43.org whether the OAuth app registration exposes scope selection at all.
d0019	2026-09-04T00:40Z	lens:persona-uw-deployer	crystallize:tension	1	kill-switch,per-deployment,write-tool	door43-mcp-v2-planning	run	high	grounds(docs/SPEC.md §mutate confirm_required) grounds(docs/CHARTER.md §Who) grounds(lenses/persona-uw-deployer.md q3)	SPEC gives the operator confirm_required (a belt) but no way to disable mutate for a whole deployment; a second operator's admin has no off switch	Tension for the captain: a Worker var (e.g. MUTATE_ENABLED, default off for forks?) vs. scope-only gating (the OAuth app decides). Either is one line in SPEC §mutate; neither is written.
d0020	2026-09-04T00:40Z	lens:persona-uw-deployer	crystallize:tension	1	telemetry,login,pii	door43-mcp-v2-planning	run	high	grounds(docs/TELEMETRY-POLICY.md consumer_label) grounds(docs/TENSIONS.md T18) grounds(klappy/bt-servant-v3-cookbook constraints/CON-0001-no-pii-in-telemetry.md) grounds(lenses/persona-uw-deployer.md q4) grounds(lenses/persona-btservant-dev.md q4)	consumer_label stores the DCS login per call; for a uW deployment and for V3 (CON-0001) a username is a user identifier the policy must justify or hash	Two lenses, one row. T18 asks which label; this asks whether the login should be stored raw at all. Options: keep (it is the operator's own D1), hash it, or store only when ?consumer= is set. Captain rules; policy recut rides v2.7.
d0021	2026-09-04T00:40Z	lens:persona-uw-deployer	crystallize:accept	2	refused,host-version,fixture	door43-mcp-v2-planning	run	medium	grounds(docs/SPEC.md §mutate server floor) grounds(docs/PLAN.md v2.8 done-means) grounds(lenses/persona-uw-deployer.md q5)	refused[] is derived from the live swagger and test-pinned against a fixture; a host on another DCS version derives its own list, which the test does not see	Nothing to move in v2.8; the PLAN row gains the clause that docs({rung:map}) shows upstream.swagger.version beside refused[] so an operator can see which list applies.
d0022	2026-09-04T00:40Z	lens:persona-uw-deployer	uncertain-encode	2	preview,second-worker,T9	door43-mcp-v2-planning	run	medium	grounds(docs/TENSIONS.md T9) grounds(docs/DEPLOY.md step 5) grounds(lenses/persona-uw-deployer.md q6)	DEPLOY says push to main deploys; it does not say where a second operator tests first, and T9 is still undecided	Defer to T9's own ruling (second Worker per canon vs prove-on-prod). DEPLOY inherits whichever lands.
d0023	2026-09-04T00:42Z	lens:persona-btservant-dev	crystallize:accept	2	tool-count,tipping-point	door43-mcp-v2-planning	run	high	grounds(klappy/bt-servant-v3-cookbook decisions/DEC-0006-servant-bible-warehouse-direction.md) grounds(lenses/persona-btservant-dev.md q1)	Three tools (four with write) is under V3's ten-server tipping point; breadth in parameters keeps the prompt override count at zero	Nothing to move.
d0024	2026-09-04T00:42Z	lens:persona-btservant-dev	uncertain-encode	2	cacheability,envelope,observed_at	door43-mcp-v2-planning	run	medium	grounds(klappy/bt-servant-v3-cookbook constraints/CON-0007-preserve-prompt-cacheability.md) grounds(docs/SPEC.md §Envelope) grounds(lenses/persona-btservant-dev.md q2)	observed_at is the first envelope key; anything inlined into a cached prefix busts on every call	Defer to the owner: V3's warehouse likely never inlines envelopes, and key order is SPEC-pinned (§7). If the L1 house-envelope lands (v2.x) the stable-first ordering is the place to raise it; noted there, not here.
